id,path,question,a,b,c,d,answer
dev_0002.jpg,train2/dev_0002.jpg,사진에 보이는 재활용 가능한 유리병은 몇 개입니까?,2개,3개,4개,5개,c
dev_0002.jpg,train2/dev_0002.jpg,사진 속 재활용 가능한 유리병은 몇 개인가요?,3개,5개,4개,2개,c
dev_0004.jpg,train2/dev_0004.jpg,사진에 보이는 이클립스 껌 상자의 재활용 분류는 무엇인가요?,종이류,플라스틱류,유리병류,금속류,d
dev_0004.jpg,train2/dev_0004.jpg,사진 속 이클립스 껌 상자의 재활용 분류는 무엇입니까?,유리병류,플라스틱류,종이류,금속류,d
dev_0009.jpg,train2/dev_0009.jpg,사진에 보이는 재활용품 중 골판지 상자 안에 들어있는 재활용품은 무엇인가요?,플라스틱 병,유리병,종이 상자,금속 캔,c
dev_0009.jpg,train2/dev_0009.jpg,사진 속 재활용품 중 골판지 상자 안에 들어있는 재활용품은 무엇입니까?,금속 캔,플라스틱 병,유리병,종이 상자,d
dev_0024.jpg,train2/dev_0024.jpg,사진 속 재활용품 중 알루미늄 캔의 개수는 몇 개인가요?,5개,10개,15개,20개,d
dev_0024.jpg,train2/dev_0024.jpg,사진에 보이는 재활용품 중 알루미늄 캔의 개수는 몇 개입니까?,10개,20개,5개,15개,b
dev_0029.jpg,train2/dev_0029.jpg,사진에 보이는 재활용품 중 종이 재질의 상자는 몇 개입니까?,2개,3개,4개,5개,d
dev_0029.jpg,train2/dev_0029.jpg,사진 속 재활용품 중 종이 재질의 상자는 몇 개인가요?,5개,3개,4개,2개,a
dev_0033.jpg,train2/dev_0033.jpg,사진에 보이는 재활용품 중 골판지 상자의 개수는 몇 개인가요?,1개,2개,3개,4개,d
dev_0033.jpg,train2/dev_0033.jpg,사진 속 재활용품 중 골판지 상자의 개수는 몇 개입니까?,4개,2개,1개,3개,a
dev_0038.jpg,train2/dev_0038.jpg,사진 속 책상 위에 놓인 재활용 가능한 플라스틱 병의 개수는 몇 개인가요?,1개,2개,3개,4개,c
dev_0038.jpg,train2/dev_0038.jpg,사진에 보이는 책상 위에 놓인 재활용 가능한 플라스틱 병의 개수는 몇 개입니까?,4개,2개,3개,1개,c
dev_0041.jpg,train2/dev_0041.jpg,사진 속 선반에 있는 재활용 가능한 플라스틱 컵은 몇 개입니까?,3개,4개,5개,6개,d
dev_0041.jpg,train2/dev_0041.jpg,사진에 보이는 선반에 있는 재활용 가능한 플라스틱 컵은 몇 개인가요?,5개,4개,6개,3개,c
dev_0042.jpg,train2/dev_0042.jpg,사진에 보이는 페트병의 개수는 몇 개인가요?,5개,6개,7개,8개,b
dev_0042.jpg,train2/dev_0042.jpg,사진 속 페트병의 개수는 몇 개입니까?,7개,8개,6개,5개,c
